Simplified;English Translation;Pinyin;Meaning
字;word;zì;graphic symbol, writing, pronunciation (of a word), form of a written character, receipt, printing type, script, name taken at the age of 20, courtesy name, wordage, character, grapheme, contract, scripts, symbolic representation, style of handwriting, word zì
民间;civilian;mínjiān;grass roots, people-to-people, nongovernmental, among the people, folk, popular
大;great;dà;great, macro, old, very, vast, tall, big, high, much
成长;grow;chéngzhǎng;grow up, mature
变成;become;biànchéng;grow_into, change into, go, form, grow into, change state, develop into, turn to, fall, turn_into, be, turn, become, turn into, grow, run, get
专家;experts;zhuānjiā;guru, pundit, adept, expertise, professional person, specializer, specialist, proficient, whiz, oner, expert, swami, savant, dab, professional, authority, stunner, technician
手;hand;shǒu;hand shǒu
处理;processing;chǔlǐ;handle, deal with, dispose of, process
加以;add to;jiāyǐ;"handle; treat (used before polysyllabic verbs or verbal nouns)"
发生;happen;fāshēng;happen, occur, take place
快乐;happy;kuàilè;happy, cheerful
有;there are;yǒu;have, possess
他;he;tā;he, she, it, they (referring to inanimate things in object position) tā
头;head;tóu;head, hair (style), top/end of sth., chief tóu
主任;director;zhǔrèn;head, principal, captain, chair, director, head teacher, chief, chairman, school principal
健康;health;jiànkāng;healthy, sound
听到;hear;tīngdào;hear
听;listen;tīng;hear, list, hearken, obey, obedience, listen, heed, administer, let, allow, hark
心;heart;xīn;heart, mind, feeling, center, core xīn
家庭;family;jiātíng;hearthstone, background, fireside, establishment, household, hearth, domestic, hearthside, menage, home, family unit, family, house
举行;held;jǔxíng;hold (meeting/etc.)
担任;as;dānrèn;hold the post of, take charge of, assume, take_charge, fill, shoulder, adopt, skipper, assume the office of, assume office of, act_as, take, act as, play, undertake, take over, take on
香港;hong kong;xiānggǎng;Hong Kong
希望;hope;xīwàng;hope, wish
小时;hours;xiǎoshí;hour
美国;to the united states;měiguó;House_of_Representatives, the United States of America, US, U.S.A., bench, Columbia, Yankeeland, U.S., United States, Democrat, Yankeedom, USA, America, United States of America
如何;how;rúhé;how
怎么;how;zěnme;how
怎么样;how about;zěnmeyàng;How are things?
却;but;què;however, but, yet, indeed
我;i;wǒ;I, me, ego, self wǒ
怕;afraid;pà;I'm afraid, dread, funk, I suppose, be afraid of, fear pà
觉得;feel;juéde;imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive
以为;to be;yǐwéi;imagine, think/believe/consider erroneously, treat, deem, believe, suspect, suppose, consider erroneously, repute, animadvert, esteem, trow, speak up, feel, count, believe/consider erroneously, calculate, view as, guess, ween, look, expect, think erroneously, think, hold, opine, interpret, sound off, take_for, consider, take for
意义;significance;yìyì;importance, significance, denotation, purport, drift, signality, emptiness, meaning, construction, bearing, substance, import, effect, insignificancy, hang, signification, sense
重要;important;zhòngyào;important, significant, major
改善;improve;gǎishàn;improve, perfect
曾经;ever;céngjīng;in one case, , one time, formerly, syne, at one time, of all time, once, ever
对于;for;duìyú;in regard) to, toward, at, for
终于;finally;zhōngyū;in the last analysis, at long last, at last, lastly, ultimately, all things considered, out, on the whole, at_last, eventually, in the final analysis, finally
针对;for;zhēnduì;in the light of, in connection with
在;in;zài;in, at, on, etc. zài
于;in;yú;in, at, to, from, out of, by
一起;together;yīqǐ;in_chorus, together, in all, in the same place, holus-bolus, altogether, in company
增加;increase;zēngjiā;increase, raise, add
实在;real;shízài;indeed, really, honestly, in fact, as a matter of fact
在;in;zài;indicating an action in progress zài
啊;ah;ā;indicating elation, indicating doubt or questioning, indicating puzzled surprise, indicating agreement/approval ā
把;put;bǎ;indicating pre-verbal object as thing dealt with by the action bǎ
工业;industry;gōngyè;industrial, industry
影响;influence;yǐngxiǎng;influence
影响;impact;yǐngxiǎng;influence, affect, effect
住;living;zhù;inhabit, cease, stay, visit, shack, dwell, stop, people, live, reside, populate, dig zhù
里;in;lǐ;inside lǐ
内;within;nèi;inside nèi
里面;inside;lǐmiàn;inside, interior
设备;equipment;shèbèi;installation, set, device, appointment, plant, fixing, system, appliance, fixture, fitting, accommodation, fitment, finishing, unit, furnishings, materiel, contrivance, paraphernalia, facilities, rig, equipage, setout, facility, fixings, equipment
整体;overall;zhěngtǐ;integrity, allness, entirety, integer, integral, monolith, entireness, ensemble, wholeness, entire, tout ensemble, whole, totality, unity
交通;traffic;jiāotōng;intercourse, commutation, transportation, communication, commuting, traffic, traffic_light, liaison man, communications, dealings, liaison
国内;domestic;guónèi;interior (of country), interior, home, intestine, internal, domestic
机构;institution;jīgòu;internal structure of an organization, motion, gadget, instrumentality, institute, organ, mechanism, gear, representation, mechanics, machinery, apparatus, establishment, institution, means, organization, agency, setup, delegacy, outfit
国际;international;guójì;international
将;will;jiāng;introducing object of main verb jiāng
调查;survey;diàochá;investigate, look into, survey
投资;invest;tóuzī;investment
欢迎;welcome;huānyíng;invite, greet, take in, receive, welcome, gratulate, embrace, salute
采用;adopted;cǎiyòng;invoke, admit, assume, adoptive, use, adopt, select for use, embrace, accept, employment, take, introduce, take up, take_on, take over, take on, borrow, employ, adoption
制度;system;zhìdù;ism, organization, dispensation, regimen, machine, regulations, form, system, regime, organisation, economy, institutional, institution
牠;it;tā;it (animal) tā
似乎;seems to;sìhū;it seems, quasi, apparently, seemingly, as if
之;of;zhī;it, him, her, this zhī
节目;programs;jiémù;item, item (on program), programme, act, telecast, number, program
女人;woman;nǔrén;jade, crumpet, female, female person, Gill, bitch, chick, fair, squaw, womenfolk, adult female, doll, momma, wench, skirt, womankind, girl, jill, wife, broad, petticoat, sister, woman, bimbo, bird, jane, she, hen, hairpin, dame, women
加入;join;jiārù;join, accede to
参加;participate;cānjiā;join, attend, take part in, give (advice/etc.)
记者;journalist;jìzhě;journalist, writer, correspondent, newspaperwoman, newspaperman, gazetteer, newswriter, reporter, pressman, newshound, newsman, newsperson
银行;bank;yínháng;jug, depository financial institution, bank building, banking company, banking concern, bank
年轻;young;niánqīng;junior, young
维持;maintain;wéichí;keep, preserve
孩子;child;háizi;kid, issue, chap, daughter, children, sonny, son or daughter, child, spawn, boy, kipper, son
儿童;children;értóng;kid, nipper, enfant, tyke, youngster, small fry, minor, shaver, nestling, tike, child, chit, fry, children, infant, tiddler, small-fry
小孩;children;xiǎohái;kid, tyke, encumbrance, kinchin, youngster, wean, small fry, chick, juvenile, imp, urchin, minor, nestling, prattler, tike, kiddie, tot, fry, bud, mammet, pinafore, nipper, enfant, mite, bairn, chicken, shaver, child, chit, kiddy, infant, tiddler, sprig
认识;awareness;rènshì;know, recognize
方法;method;fāngfǎ;know-how, plan, attack, system, stepping-stone, manner, method, gateway, idea, measure, way, guise, key, wise, quomodo, plan of attack, tack, machinery, process, avenue, modus, how, means, channel, gate, approach, agency, gamesmanship, mode, medium, sort
国民党;kuomintang;guómíndǎng;Kuomintang, Nationalist Party, Kuomintang (KMT)
少;less;shǎo;lack, be deficient, lose, be missing shǎo
女性;female;nǔxìng;lady, female sex, womankind, feminie, female, sex, petticoat, femininity, female person, woman, she, patroness, womanhood, fair, feminine
之后;after;zhīhòu;later, behind, at the back of, after
意见;opinion;yìjiàn;latitude, point_of_view, estimation, sight, conceit, verdict, hypothesis, attitude, estimate, possibility, judgement, appraisal, ground, slant, differing opinion, ruling, complaint, thinking, suggestion, comment, advisement, mind, apprehension, say, vote, impression, deliverance, view, understanding, feeling, idea, notion, sentiment, judgment, advice, current, opinion, advert, theory, v
程度;degree;chéngdù;latitude, rate, degree, point, measure, way, grade, gree, pitch, cut, length, plane, stage, level, extent, scale, notch
法;method;fǎ;law, method, way, mode, standard, model, legalists, Legalist School, Buddhist doctrine, dharma, magic arts
达;up;dá;lead, attain, extend, amount to, ryke, express, attainment, inform, reach
知识;knowledge;zhīshì;lear, know-how, understanding, ken, instruction, science, sophistication, consciousness, light, awareness, cognizance, knowledge, lore, mastery, know, cognition, acquaintanceship, mind, intellect, knowingness, equipment
期间;period;qíjiān;length, period, time period, amount of time, duration, course, interim, period of time, time, standing, chapter, tract, space, term, streak, efflux
低;low;dī;let droop, hang down, lower dī
生活;life;shēnghuó;life, existence, livelihood
人生;life;rénshēng;lifetime, life, lifespan, human life, time of life
开放;open;kāifàng;lift a ban/etc., be turned on, be in operation
找到;find;zhǎodào;light upon, find, discover, run_down, founded, regain, strike, come upon, come across, run down, trace, turn_up, happen upon, get, chance on, chance upon
那么;then;nàmo;like that, in that way
喜欢;like;xǐhuān;like, love, be fond of, be happy/elated
系统;systems;xìtǒng;lineage, filiation, scheme, pedigree, system, formation, superstructure, programme, organization, succession, tract, system of rules, organisation, program
语言;language;yǔyán;linguistic communication, lingual, language, idiom, tongue, oral communication, speech, perspicuity, lingo, contumely, Fortran, parole, natural language, spoken language, linguistic process
当地;local;dāngdì;locality, the place (named/mentioned/etc.)
位;the position;wèi;location, digit, m.[general], , status, figure, throne, position, place, condition wèi
自己;themselves;zìjǐ;lonesome, number_one, own, ego, self, oneself, name
长;long;cháng;long, be strong/good (in/at) cháng
带;with;dài;look after, raise dài
找;find;zhǎo;look for, seek, call on, approach zhǎo
放;put;fàng;loose, bloom, make longer, set ... free, let sb. have his own way, show, readjust, free, make larger, put in, fly, etc., release, discharge, leave alone, bung, lay aside, put, expansion, make longer/larger/etc., fling, localize, lend (money) at interest, let go, set, pasture, pose, set free, blossom, lay, let off, put out to pasture, send away, play, expand, make larger/etc., readjus fàng
智慧;wisdom;zhìhuì;lore, sapiency, sconce, wit, intelligence, gumption, savvy, wiseness, soundness, wisdom, grey_matter, sapience
全部;all;quánbù;lot, aggregate, all, gross, entirety, allness, shebang, caboodle, complete, bunch, sum, total, gamut, entire, det.: all, totality, whole, everything
许多;many;xǔduō;lot, scores, lots, sight, pot, heap, quantity, plenty, slews, ton, battalion, many, scads, tidy sum, power, spate, chunk, pile, crowd, vastness, batch, lashings, whole lot, mint, mound, pocketful, large number, trunkful, ream, mickle, great deal, flock, mass, slew, heaps, a lot of, piles, whole slew, mess, raff, slue, gobs, much, lotta, multitude, volume, wad, store, raft, tons, satiety, rafts, doze
爱;love;ài;love, like, be fond of, be keen on, cherish, be apt to
度;degree;dù;m.[activity]
场;field;cháng;m.[event] cháng
名;name;míng;m.[general]
套;set;tào;m.[general]
本;this;běn;m.[general] běn
部;department;bù;m.[general] bù
段;paragraph;duàn;m.[general] duàn
分;the;fèn;m.[general] fèn
份;portion;fèn;m.[general] fèn
家;home;jiā;m.[general] jiā
块;block;kuài;m.[general] kuài
片;film;piàn;m.[general] piàn
项;item;xiàng;m.[general] xiàng
张;zhang;zhāng;m.[general] zhāng
只;only;zhī;m.[general] zhī
类;class;lèi;m.[kind] lèi
种;kind;zhǒng;m.[kind] zhǒng
些;some;xiē;m.[proximation]
点;point;diǎn;m.[proximation] diǎn
公尺;public ruler;gōngchǐ;m.[standard]
元;yuan;yuán;m.[standard] yuán
主要;main;zhǔyào;main, chief, principal, major
难;difficult;nán;make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame
努力;efforts;nǔlì;make great effort, try hard
令;make;lìng;make, cause lìng
做;do;zuò;make, do zuò
制作;production;zhìzuò;make, manufacture
造成;cause;zàochéng;make_for, give rise to, create, set_up, strike, creation, cause, contribute, bring_about, procure, give, bring about, cut_out, necessitate, shape, present, bring_forth, generate, yield, make, breed
男人;men;nánrén;male, man, chap, mankind, buck, bastard, gentleman, jack, gent, men, blighter, cuss, hombre, lad, adult male, groom, husband, bimbo, dog, fellow, mon, menfolk, fella
人类;human;rénlèi;man, wight, human_being, human, human race, mankind, individual, human species, Homo_sapiens, populace, creature, hominid, world, mortality, microcosm, humans, humanitarianism, humanity, humanness, human beings/species, people, species, humankind, human beings, public, mortal
经营;business;jīngyíng;manage, run, engage in
管理;management;guǎnlǐ;manage, supervise, take care of
表现;performance;biǎoxiàn;manifestation, expression
多;more;duō;many, much, more, more than the correct/required number, excessive, too much, much/far more duō
脸;face;liǎn;map, mug, kisser, puss, visage, snoot, frontispiece, pan, smiler, mazzard, mush, facial, countenance, phiz, figurehead, face, physiognomy, front, human face liǎn
媒体;media;méitǐ;mass media, media, medium
家长;parents;jiāzhǎng;masterman, housemaster, graybeard, patriarch, parent of schoolchildren, patriarchal, goodman, patriarchate, paterfamilias, the head of a family, genearch, patriarchy, householder, head of household, the parent or guadian of a child
比赛;competition;bǐsài;match, competition
技术;technology;jìshù;mechanics, know-how, prowess, science, Minerva, superior skill, art, competence, technology, craft, craftsmanship, skill, education, technique, artistry, engineering, technological, equipment, technical
心理;mental;xīnlǐ;mental_state, psychology, mentality
只是;just;zhǐshì;merely, only, just, simply be
国中;country;guózhōng;middle school, junior high school
时间;time;shíjiān;moment, day, clock time, fourth_dimension, relativity, hour, duration, time, when, while, temporal, economy
事实;facts;shìshí;mood, circumstance, fact, factual, reality, verity, case, deed, sooth, troth, actuality, truth, matter, matter of fact
条件;conditions;tiáojiàn;mood, formula, conditional, precondition, prerequisite, requisition, factor, qualification, requirement, stipulation, proviso, circumstances, provision, term, reservation, if, condition
月;months;yuè;moon yuè
多;more;duō;more than the correct/required number, much/far more duō
更;more;gèng;more, still/even more, further, furthermore gèng
最;most;zuì;most, to the highest degree, much, superlatively
特色;characteristic;tèsè;motif, a character, a characteristic, manner, trait, differentiation, flavor, colour, singularity, distinction, characteristic, hue, stripe, physiognomy, a distinguishing feature, idiom, specialty, character, difference, particular, distinguishing feature, distinguishing feature/quality, salience, coloration, distinguishing quality, specific, feature, peculiarity, artistic st
人民;people;rénmín;multitude, citizen, quarter, Volk, hoi polloi, subject, people, nationals, masses, the people, mass, demotic
妈妈;mom;māmā;mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma
世界;world;shìjiè;mundane, creation, world, monde, orb, nature, domain
居民;inhabitants;jūmín;municipality, population, citizen, denizen, townie, people, dweller, populace, residenter, resident, towny, inhabitant, habitant, liver
音乐;music;yīnyuè;music
必须;must;bìxū;must
一定;must;yīdìng;must
须;must;xū;must, have to
不能;cannot;bùnéng;must/may/can not, not be allowed
自然;natural;zìrán;natural world
自然;nature;zìrán;naturally, of course, in ordinary course of events
性;sex;xìng;nature, character, sex, gender xìng
不必;no need;búbì;need not, not have to
责任;responsibility;zérèn;need, care, encumbrance, buck, accountability, blame, obligation, turn, load, responsibleness, incumbrance, responsibility, onus, commission, burden, commitment, loading, trust, pigeon, charge, business, fault, place, liability, duty, guardianship
需求;needs;xūqiú;need, requisition, demand, want, desiderative, requirement, call
需要;need;xūyào;need, want, require, demand
附近;nearby;fùjìn;neighborship, neighborhood, precinct, vicinity, neighbourhood
不要;don't;búyào;never, noway, don't want, don't (do sth.)
新;new;xīn;new, fresh, up-to-date xīn
日本;japan;rìběn;Nippon, Cipango, Nihon, Japan, japan, Japanese
不再;no longer;búzài;no more/longer
无法;can't;wúfǎ;nohow, unable to, unable, cannot
者;the;zhě;nominal suffix, one who, -er
不;no;bù;non, do not, no, nowise, not, nope, nae, no more, nix bù
通常;usually;tōngcháng;normal, commonly, customarily, more often than not, general, usual, on average, as a rule, ordinarily, mostly, as usual, typically, generally, normally, by and large, unremarkably, on the average, usually
没;not;méi;not
不错;not bad;búcuò;"not bad, pretty good;correct, right"
不足;not enough;bùzú;not be enough, not be worth (doing sth.), cannot, should not
非;not;fēi;not fēi
无;without;wú;not have, there is not
没有;no;méiyǒu;not have, there is not, be without
没;no;méi;not have, there is not, be without méi
有时;sometimes;yǒushí;now and then, at times, betweentimes, from time to time, sometimes
这;this;zhè;now, this, det.: this, it
嗯;hmm;ēn;O.K., How come, Huh, What, Why, Agreed!, well, um
观察;observation;guānchá;observe, survey, inspect
拥有;has;yǒngyǒu;occupy, have, receive, aught, hold back, keep, keep back, owe, retain, own, possess, possession, hold, seize, take, acquire, corral, hold on
常;often;cháng;often, usually, frequently cháng
往往;often;wǎngwǎng;oftentimes, ofttimes, always, more often than not, frequently, oft, often
常常;often;chángcháng;oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually
爸爸;dad;bàbà;old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa
老;old;lǎo;"old, aged;of long standing, outdated, tough, overgrown, dark (of colors) lǎo"
老人;elderly;lǎorén;oldster, ancient, old woman, crock, one's aged parents or grandparents, old man/woman, one's aged parents/grandparents, Sir, old person, gaffer, pop, one's aged parents, the aged/old, old_man, senior_citizen, oldie, greybeard, old man, graybeard, old, grandparents, the old, the aged, senior citizen, old_boy, old boy, woman, old-timer, old man or woman, one's aged grandparents
学术;academic;xuéshù;ology, academic, systematic learning, science, learning
科学;science;kēxué;ology, scientific, science, scientific knowledge
根据;according to;gēnjù;on the basis of, according to
上;on;shàng;on, above shàng
曾;had;zēng;once, ever, before
只;only;zhǐ;only, merely zhǐ
开放;open;kāifàng;open to the world, open to traffic or public use
开;open;kāi;open, open up, reclaim (land), open out, come loose, start, begin, operate, turn on (light), run (business), hold (meeting/etc.), divide into, reveal kāi
效果;effect;xiàoguǒ;operation, execution, result, effect, background, sound effects, purpose, point, background signal, fruitage, outcome, force, punch
未;not;wèi;or not (at end of sentence), have not yet, or not, not wèi
次;time;cì;order, sequence, next cì
原因;reason;yuányīn;origin, causation, reason, wherefore, causal, breeder, spore, cause, causal agent, whence, causal agency, occasion, root, subject, causality, why, starter
原来;original;yuánlái;originally, formerly
对方;the other side;duìfāng;other party, the other party, fellow, party, other side, adversary, other side/party
别人;others;biérén;others, other people, another person
该;the;gāi;ought to, should gāi
我国;our country;wǒguó;our country
重新;again;chóngxīn;over_again, newly, afresh, anew, again
超过;more than;chāoguò;overpass, overreach, outwalk, outstrip, overstep, outmarch, distance, pass, overstride, outpace, overtop, surpass, crown, exceed, overtake, preponderate, overrun, top, outrun, go_over, transcend, outrange, transgress, go past, break, excess, overhaul, overshine
国外;foreign;guówài;overseas
父亲;father;fùqīn;parent, father, pere, Pa, begetter, governor, abba, male parent, pater, guv
父母;parents;fùmǔ;parental, parents, father and mother, folks
部分;part;bùfèn;partial, department, section, partialness, slice, pars, part, det.: part, percent, partage, sphere, component, divvy, segment, portion, fraction, sector, chapter, share, percentage, piece, division, sectional, parcel
参与;involvement;cānyū;participate in
吗;?;mā;particle: calling for agreement or disagreement
的;of;de;particle: emphasizing an action/situation
而已;and already;éryǐ;particle: imparting finality (that's all)
了;up;le;particle: indicating new situation or completed action le
呢;it;ne;"particle: marking quesitons about subject already mentioned; indicating strong affirmation"
呀;ah;ya;"particle: replacing 啊 when preceding word ends in a, e, i, o, or (y)u; used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation"
啊;ah;ā;"particle: used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation ā"
去;go;qù;particle: used to denote an action away from the speaker or to denote the direction of the action qù
来;come;lái;particle: used to denote the beginning of an action lái
嘛;well;má;"particle: used to persuade someone to do something; used to emphasize the obvious má"
吧;it;ba;particle: used to show mild imperative or uncertainty
啦;la;lā;"particle: used when informing sb. of st.; indicating excitement/doubt/comfort/etc."
过;over;guò;pass, cross, transfer (e.g., ownership), undergo a process, go through, celebrate, observe guò
经过;after;jīngguò;pass, go through, undergo
受;subject;shòu;passive signifier shòu
历史;history;lìshǐ;past records, historical, history
政治;political;zhèngzhì;paternalism, trouble, government, policy, political relation, political science, polity, politics, political affairs, political
方式;way;fāngshì;path, plan, pattern, tenor, system, method, manner, style, way, guise, fashion, wise, means, shape, how, embodiment, agency, gate, mode, sort
方向;direction;fāngxiàng;path, set, directional, aspect, tenor, course, lay, exposure, way, range, aim, trend, direction, bearing, orientation, hand, tack, way of life, quarter, channel, line, heading
注意;attention;zhùyì;pay attention to, take note of
本身;itself;běnshēn;per se, self, oneself, identity, itself
代;generation;dài;period, generation dài
主管;supervisor;zhǔguǎn;person in charge
人;people;rén;person, people rén
现象;phenomenon;xiànxiàng;phenomenon, phenomenal, appearance
买;buy;mǎi;pick up, invest, hire, buy, purchase, put_down, trade, get mǎi
个;a;gè;piece, item gè
公司;company;gōngsī;place of business, business organization, incorporation, establishment, business concern, office, concern, business establishment, business, enterprise, company, corporation
设计;design;shèjì;plan, design
规划;planning;guīhuà;plan, program
计画;project;jìhuà;plan, project, program
计划;plan;jìhuà;plan, project, program
们;we;men;plural marker for personal pronouns or for nouns referring to people
们;we;men;pluralizer after pronouns and nouns of persons
指出;point out;zhǐchū;point, point_out, catch_out, bespeak, indicate, denote, point out (that), note, show, designate, point out
目标;objective;mùbiāo;polestar, objective, goal, bourn, object, meaning, aim, end point, target, cause, landmark, butt, lodestar, bull's eye, mark, tee, cynosure, end, bell ringer, loadstar, quaesitum, destination
思考;thinking;sīkǎo;ponder over, reflect on
人口;population;rénkǒu;population
积极;active;jījí;positive, active, energetic, vigorous
具;with;jù;possess, have, provide, furnish jù
也许;maybe;yěxǔ;possibly, peradventure, conceivably, assumedly, mayhap, doubtless, ablings, perhaps, perchance, potentially, probably, maybe, presumably, ablins, just
实际;actual;shíjì;practical, literal
正;positive;zhèng;precisely, punctually zhèng
就;on;jiù;prep.: with regard to, concerning
推出;launch;tuīchū;present to public
负责;responsible for;fùzé;preside, be responsible for, see, entail, sponsor, be in charge of, blame, answer, undertake, liable, respond
总统;president;zǒngtǒng;president (of a republic)
颇;quite;pǒ;pretty, quite an, very, quite, jolly, fearfully, quite a, molto, middling, considerably, greatly
很;very;hěn;pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly
校长;principal;xiàozhǎng;prexy, head, principal, headteacher, schoolmaster, master, warden, president, beak, rector, superintendent, director, head teacher, preceptor, headmaster, chancellor, school principal
价格;price;jiàgé;price
国小;country small;guóxiǎo;primary/elementary school, primary school
可能;may;kěnéng;probably, maybe
问题;question;wèntí;problem, mishap, query, job, interface, question, inquiry, matter, enquiry, trouble, issue, worry, subject, topic, hang-up, business, quaere
工程;project;gōngchéng;process, construction, engineering, engineering project, project
生产;production;shēngchǎn;produce, manufacture
出;out;chū;produce, turn out, arise, happen chū
专业;professional;zhuānyè;professional
教授;teach;jiàoshòu;professor
规划;planning;guīhuà;program, plan
建议;suggestions;jiànyì;propose, suggest, recommend
企业;business;qǐyè;proposition, business enterprise, business organization, business concern, concern, commercial enterprise, endeavour, endeavor, industry, business, project, corporation, enterprise
事情;things;shìqíng;proposition, pie, shebang, thing, affair, occasions, undertaking, concern, question, business, schmear, matter
事业;career;shìyè;proposition, task, pidgin, institution, undertaking, deed, facilities, life history, endeavour, endeavor, cause, career, project, action, enterprise
保护;protection;bǎohù;protect, safeguard
院;hospital;yuàn;public facility, college, courtyard, designation for certain government offices and pub, hospital, clinic, branch of government, university, institutes, compound, abbey, academy, institute, yard, educational institution, faculty
人士;people;rénshì;public figure, personage
推动;facilitation;tuīdòng;push forward, promote
提出;present;tíchū;put forward, pose, raise
实施;implement;shíshī;put into effect, implement
适合;suitable for;shìhé;qualify, conform, fit, go, befit, quadrate, will, accord, tailor, beseem, serve, comport, gee, answer, become, fit_in, service, pertain, like, accommodate, agree, belong, characterize, make, suit, match
相当;quite;xiāngdāng;quite, fairly, considerably
老师;teacher;lǎoshī;rabbi, professor, swami, instructor, teacher, mast
提高;raise;tígāo;raise, heighten, enhance, increase, improve
使;makes;shǐ;rarefy, piss_off, germinate, drench, blow_out, leave, cut_up, refract, run, dress_up, compose, shed, frizz, put_off, trot, send, strike, send (as envoy), peal, alienate, pull_in, tone_up, bring around, astound, sublease, wither, cripple, bed_down, address, rehearse, usage, warm, smell_out, throw, inflect, get_down, skunk, capsize, congeal, bowl_over, bring_on, unseat, ensure, amalgamate, pro
较;more;jiào;rather, quite, relatively, more jiào
真的;really;zhēnde;really, truly, indeed
真;TRUE;zhēn;really, truly, indeed, clearly
接受;acceptance;jiēshòu;receive (honors, have, receive, acknowledge, sweep up, espouse, etc.), come to grips, adopt, embrace, greet, welcome, hook on, seize on, take up, accede, taken, entertain, latch on, buy, fasten on, swallow, imbibe, accept, receive (honors/etc.), undergo, get to grips, take, adapt, acceptance, thole
受;by;shòu;receive, accept, endure, suffer, be subjected to shòu
减少;reduce;jiǎnshǎo;reduce, decrease
改革;reform;gǎigé;reform
作为;as;zuòwéi;regard as, look on as, take for
关系;relationships;guānxì;"relation, bearing, impact, membership credentials, ""backdoor connections"""
比较;compare;bǐjiào;relatively, fairly
兴趣;interest;xìngqù;relish, appetite, zestfulness, dish, cup of tea, pastime, hobby, interest, gusto, bag, avocation, zest
回到;back to;huídào;remount, retour, recur, turn back, regress, regain, revert, go_back, return to, return, go back to
使得;makes;shǐdé;render, wreck, compel, cause, make
状况;status;zhuàngkuàng;repair, background, picture, state (of affairs), state of affairs, status, gear, scene, setting, scope, condition, state, circumstance, trimness, context, showing, trim, factor, condition/state (of affairs), situation, shoes, consideration, place
报导;reporting;bàodǎo;report,
报告;report;bàogào;report, speech, (student) term paper
代表;representation;dàibiǎo;representative, delegate
请;please;qǐng;request, ask (a favor), engage, hire (teacher/etc.), Please...
要求;request;yāoqiú;request, demand
研究;research;yánjiù;research, study
资源;resources;zīyuán;resource, natural resources, mine, resources
事;thing;shì;responsibility, trouble, event, thing, worry, accident, case, involvement, work, affair, job, concern, business, toast, matter shì
结果;result;jiéguǒ;result, outcome, consequence
丰富;enrich;fēngfù;rich, abundant, plentiful
对;for;duì;"right; correct duì"
办法;approach;bànfǎ;road, expedient, policy, agency, measure, way, method, means
路;road;lù;road, path, way, journey, distance, means, sequence, logic, line, region, district, route, sort, grade, class lù
传统;traditional;chuántǒng;rule, patrimony, legacy, custom, heritage, convention, conventionality, routine, normal practice, common practice, tradition
规定;regulations;guīdìng;rules, disciplines, regulations
有效;effective;yǒuxiào;run, stand, valid, effective, efficacious, avail, make, hold
苏联;soviet union;sūlián;Russia, Soviet, USSR, Soviet Union
安全;security;ānquán;safe, secure
一样;the same;yīyàng;same, equal, similar
同样;the same;tóngyàng;same, equal, similar
道;road;dào;say, speak, talk, think, suppose dào
言;words;yán;say, talk, speak
仅;only;jǐn;scantily, simply, alone, merely, barely, only, but, just jǐn
作业;assignments;zuòyè;school assignment, work, task, operation, production
校园;campus;xiàoyuán;schoolyard, campus
机会;opportunity;jīhuì;scouth, occasion, good luck, hap, liberty, fortune, opportunity, chance, joss, hazard, happy chance, probability, luck, scope, room, break, turn, opening
走;go;zǒu;scram, travel, foot, go away, evaporate, ankle, waltz, step, bugger off, etc., go through, leave, leak, run, buzz off, leg, pad, fork, visit, go, escape, lose flavor, work, call on, strike, sashay, trace, pursue, gang, lose shape/etc., get_along, come_along, walk, hoof it, lose flavor/shape/etc., leg it, let out, shape, drive, cover, take, get, hoof, move zǒu
地区;region;dìqū;section, country, area, latitude, zone, terrain, parts, locality, sector, province, prefecture, region, district, faubourg
见;see;jiàn;see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet jiàn
看;look;kàn;see, look at, watch, read, look upon, regard, look after, call on, visit kàn
追求;pursuit;zhuīqiú;seek, pursue, woo, court
好像;seems to;hǎoxiàng;seem, be like
选择;select;xuǎnzé;select, opt
自我;self;zìwǒ;self, oneself
学校;school;xuéxiào;seminary, schoolhouse, educational institution, school, institution
感觉;feel;gǎnjué;sense perception, feeling
句;sentence;jù;sentence, m.[general], jù
分;points;fēn;separate, distinguish, differentiate, discriminate fēn
分别;respectively;fēnbié;separately, respectively
严重;serious;yánzhòng;serious, significant, acute, critical, severe, grave
业务;business;yèwù;service, practice, vocational work, line of work, affair, line, occupation, professional work, business, transaction
山;hill;shān;Shan, jebel, pike, mountain, whitethorn, hump, anything resembling a mountain, gable, kop, chimney, hill, Surname, mount shān
她;her;tā;she, her, she (neologism for {1ta1}[2]), )
