Simplified,English Translation,Pinyin
标签,label,biāoqiān
时钟,clock,shízhōng
霜,cream,shuāng
好,good,hǎo
相,phase,xiāng
哲学,philosophy,zhéxué
行为,conduct,xíngwéi
周期,cycle,zhōuqí
电力,electricity,diànlì
主教,bishop,zhǔjiào
读者,reader,dúzhě
怀孕,pregnancy,huáiyùn
联赛,league,liánsài
宠物,pet,chǒngwù
基础,foundation,jīchǔ
繁荣,boom,fánróng
塔,tower,tǎ
该功能,feature,gāi gōngnéng
撤离,withdrawal,chèlí
呼吸,breath,hūxī
裂纹,crack,lièwén
生产厂家,manufacturer,shēngchǎn chǎngjiā
专科,specialist,zhuānkē
参考,reference,cānkǎo
传说,tale,chuán shuō
提供,provision,tígōng
历史学家,historian,lìshǐ xué jiā
电线,wire,diànxiàn
炒作,speculation,chǎozuò
这对,pair,zhè duì
借口,excuse,jièkǒu
巧克力,chocolate,qiǎokèlì
庆典,celebration,qìngdiǎn
奶酪,cheese,nǎilào
财富,fortune,cáifù
浴室,bathroom,yùshì
功能,function,gōngnéng
宇宙,universe,yǔzhòu
通道,channel,tōngdào
微笑,smile,wéixiào
牛奶,milk,niúnǎi
要求,requirement,yāoqiú
怀疑,suspicion,huáiyí
家庭,household,jiātíng
这一发现,finding,zhè yī fà xiàn
胸部,chest,xiōngbù
常规,routine,chángguī
考虑,consideration,kǎolǜ
图书馆,library,túshū guǎn
危害,harm,wéihài
保证金,margin,bǎozhèngjīn
对象,object,duìxiàng
吉他,guitar,jítā
按钮,button,ànniǔ
沉默,silence,chénmò
改善,improvement,gǎishàn
下降,drop,xiàjiàng
约会,appointment,yuēhuì
商人,businessman,shāngrén
流,flow,liú
金属,metal,jīnshǔ
镜子,mirror,jìngzi
目前,present,mùqián
运营商,carrier,yùnyíng shāng
表达,expression,biǎodá
命运,fate,mìngyùn
云计算,cloud,yún jìsuàn
肌肉,muscle,jīròu
皮带,belt,pídài
章,chapter,zhāng
字符串,string,zìfú chuàn
交易,trading,jiāoyì
诀窍,trick,juéqiào
指南,guide,zhǐnán
音量,volume,yīnliàng
幻想,fantasy,huànxiǎng
膝盖,knee,xīgài
该化合物,compound,gāi huàhéwù
胃,stomach,wèi
高度,height,gāodù
草案,draft,cǎo'àn
陌生人,stranger,mòshēng rén
感染,infection,gǎnrǎn
大众,mass,dàzhòng
纪律,discipline,jìlǜ
水果,fruit,shuǐguǒ
游客,visitor,yóukè
诗,poem,shī
现象,phenomenon,xiànxiàng
篱笆,fence,líbā
应用,application,yìngyòng
配方,recipe,pèifāng
服装,clothing,fúzhuāng
有罪,guilt,yǒuzuì
生存,survival,shēngcún
冠军,champion,guànjūn
统一,uniform,tǒngyī
打印,print,dǎyìn
马铃薯,potato,mǎlíngshǔ
安排,arrangement,ānpái
月亮,moon,yuèliàng
熊,bear,xióng
伤口,wound,shāngkǒu
稳定性,stability,wěndìng xìng
骄傲,pride,jiāo'ào
限制,restriction,xiànzhì
总,total,zǒng
障碍,barrier,zhàng'ài
表姐,cousin,biǎojiě
职业,occupation,zhíyè
银,silver,yín
蛋糕,cake,dàngāo
肺,lung,fèi
车轮,wheel,chēlún
观察者,observer,guānchá zhě
调,tune,diào
说明,description,shuōmíng
成立,establishment,chénglì
室,chamber,shì
恐怖,horror,kǒngbù
银行,banking,yínháng
苹果,apple,píngguǒ
寓意,implication,yùyì
钢,steel,gāng
喉咙,throat,hóulóng
精华,essence,jīnghuá
突袭,raid,túxí
区别,distinction,qūbié
德国,german,déguó
唇,lip,chún
时间,timing,shíjiān
敏锐的洞察力,insight,mǐnruì de dòngchá lì
政变,coup,zhèngbiàn
移位,shift,yí wèi
警察,policeman,jǐngchá
习惯,habit,xíguàn
板材,sheet,bǎncái
罪犯,offender,zuìfàn
午夜,midnight,wǔyè
执行,execution,zhíxíng
焦虑,anxiety,jiāolǜ
企业,enterprise,qǐyè
带钢,strip,dài gāng
弹出,pop,dànchū
奇迹,wonder,qíjī
影子,shadow,yǐngzi
自由,liberty,zìyóu
小说,fiction,xiǎoshuō
干预,intervention,gānyù
创作,creation,chuàngzuò
市场营销,marketing,shìchǎng yíngxiāo
基督教,christian,jīdūjiào
锅,pot,guō
钓鱼,fishing,diàoyú
早餐,breakfast,zǎocān
管,tube,guǎn
确定,determination,quèdìng
沙,sand,shā
许可,permission,xǔkě
指引,guideline,zhǐyǐn
羞,shame,xiū
骚乱,riot,sāoluàn
用户,user,yònghù
器官,organ,qìguān
度假村,resort,dùjiàcūn
设计师,designer,shèjì shī
比较,comparison,bǐjiào
就业,employment,jiùyè
面包,bread,miànbāo
希望,wish,xīwàng
情人,lover,qíngrén
夹克,jacket,jiákè
通,pass,tōng
章程,statute,zhāngchéng
步伐,pace,bùfá
框架,frame,kuàngjià
混乱,confusion,hǔnluàn
保证,guarantee,bǎozhèng
专员,commissioner,zhuānyuán
火焰,flame,huǒyàn
假设,assumption,jiǎshè
研究生,graduate,yánjiūshēng
入门,entry,rùmén
病房,ward,bìngfáng
赢,win,yíng
歌剧,opera,gējù
友谊,friendship,yǒuyì
曝光,exposure,pùguāng
猪,pig,zhū
大副,mate,dà fù
神经,nerve,shénjīng
长度,length,chángdù
牛,cow,niú
包,pack,bāo
指令,instruction,zhǐlìng
崩溃,collapse,bēngkuì
助手,assistant,zhùshǒu
异议,objection,yìyì
日记,diary,rìjì
学者,scholar,xuézhě
舒适,comfort,shūshì
准备,preparation,zhǔnbèi
全省,province,quán shěng
通过,passage,tōngguò
晶,crystal,jīng
齿轮,gear,chǐlún
行程,stroke,xíngchéng
下降,decline,xiàjiàng
成就,achievement,chéngjiù
存在,existence,cúnzài
联盟,alliance,liánméng
行业,profession,hángyè
交付,delivery,jiāofù
出版商,publisher,chūbǎn shāng
同情,sympathy,tóngqíng
菜,dish,cài
忧,worry,yōu
该组件,component,gāi zǔjiàn
冒险,adventure,màoxiǎn
作物,crop,zuòwù
打击,blow,dǎjí
为了,sake,wèile
罪,sin,zuì
养老金,pension,yǎnglǎo jīn
车库,garage,chēkù
辐射,radiation,fúshè
果汁,juice,guǒzhī
设置,setting,shèzhì
索引,index,suǒyǐn
蔬菜,vegetable,shūcài
该合作伙伴关系,partnership,gāi hézuò huǒbàn guānxì
诗歌,poetry,shīgē
识别,recognition,shìbié
自我,self,zìwǒ
站立,standing,zhànlì
组织,tissue,zǔzhī
外壳,shell,wàiké
队长,captain,duìzhǎng
坟墓,grave,fénmù
军衔,rank,jūnxián
性别,gender,xìngbié
短缺,shortage,duǎnquē
奖品,prize,jiǎngpǐn
大衣,coat,dàyī
种子,seed,zhǒngzǐ
大鼠,rat,dà shǔ
土壤,soil,tǔrǎng
岸边,shore,àn biān
失败,defeat,shībài
通知,notice,tōngzhī
开机,boot,kāijī
图表,chart,túbiǎo
该部,ministry,gāi bù
钻石,diamond,zuànshí
终点,finish,zhōngdiǎn
录取,admission,lùqǔ
黑暗,dark,hēi'àn
实验室,laboratory,shíyàn shì
专业,professional,zhuānyè
奖励,reward,jiǎnglì
婴儿,infant,yīng'ér
文本,text,wénběn
淋浴,shower,línyù
剂量,dose,jìliàng
恐慌,panic,kǒnghuāng
净,net,jìng
店员,clerk,diànyuán
矿工,miner,kuànggōng
代表团,delegation,dàibiǎo tuán
想象,imagination,xiǎngxiàng
团结,unity,tuánjié
叔叔,uncle,shūshu
成分,ingredient,chéngfèn
分配,assignment,fēnpèi
货币,currency,huòbì
电池,battery,diànchí
隧道,tunnel,suìdào
辞职,resignation,cízhí
买家,buyer,mǎi jiā
自行车,bike,zìxíngchē
兴奋,excitement,xīngfèn
鼠标,mouse,shǔbiāo
报警,alarm,bàojǐng
诗人,poet,shīrén
景观,landscape,jǐngguān
选择,selection,xuǎnzé
哭,cry,kū
分离,separation,fēnlí
显示器,display,xiǎnshìqì
残疾,disability,cánjí
计数器,counter,jìshùqì
冠军,championship,guànjūn
黄油,butter,huángyóu
画像,portrait,huàxiàng
棒,stick,bàng
工程,engineering,gōngchéng
神话,myth,shénhuà
作文,essay,zuòwén
冷,cold,lěng
煤炭,coal,méitàn
对比,contrast,duìbǐ
观察,observation,guānchá
尾,tail,wěi
机制,mechanism,jīzhì
该计划,scheme,gāi jìhuà
演示,presentation,yǎnshì
天使,angel,tiānshǐ
奖金,bonus,jiǎngjīn
藏,possession,cáng
学习,learning,xuéxí
教学,teaching,jiàoxué
甲板,deck,jiǎbǎn
生物,creature,shēngwù
运行,running,yùnxíng
文献,literature,wénxiàn
弱点,weakness,ruòdiǎn
蓝色,blue,lán sè
订婚,engagement,dìnghūn
不确定性,uncertainty,bù quèdìng xìng
查询,inquiry,cháxún
动力,motivation,dònglì
灰尘,dust,huīchén
高峰,peak,gāofēng
本能,instinct,běnnéng
针,needle,zhēn
叶子,leaf,yèzi
推出,launch,tuīchū
笑,laugh,xiào
请假,leave,qǐngjià
草,grass,cǎo
铁,iron,tiě
竞争对手,competitor,jìngzhēng duìshǒu
复杂,complex,fùzá
豆,bean,dòu
极,pole,jí
该船,vessel,gāi chuán
补贴,subsidy,bǔtiē
中标,bid,zhòngbiāo
登陆,landing,dēnglù
管道,pipe,guǎndào
解读,interpretation,jiědú
赛事,tournament,sàishì
臀部,hip,túnbù
诊断,diagnosis,zhěnduàn
球场,pitch,qiúchǎng
该杂志,journal,gāi zázhì
天花板,ceiling,tiānhuābǎn
出口,export,chūkǒu
意识,awareness,yìshí
十字,cross,shízì
吻,kiss,wěn
考试,examination,kǎoshì
帝国,empire,dìguó
更换,replacement,gēnghuàn
鸭,duck,yā
公式,formula,gōngshì
魔鬼,devil,móguǐ
限制,limitation,xiànzhì
赔偿,compensation,péicháng
邀请,invitation,yāoqǐng
声明,declaration,shēngmíng
意义,significance,yìyì
最后,final,zuìhòu
保费,premium,bǎofèi
救护车,ambulance,jiùhù chē
地毯,carpet,dìtǎn
寺庙,temple,sìmiào
组成,constituent,zǔchéng
特许经营,concession,tèxǔ jīngyíng
同意,consent,tóngyì
前提,premise,qiántí
遗产,heritage,yíchǎn
货架,shelf,huòjià
提示,hint,tíshì
节奏,rhythm,jiézòu
责任,liability,zérèn
脚跟,heel,jiǎogēn
该层,layer,gāi céng
应变,strain,yìngbiàn
碳,carbon,tàn
座谈会,forum,zuòtán huì
优点,merit,yōudiǎn
童,youngster,tóng
转移,transfer,zhuǎnyí
分布,distribution,fēnbù
扩张,expansion,kuòzhāng
深度,depth,shēndù
毯子,blanket,tǎnzi
王国,kingdom,wángguó
泥,mud,ní
到货,arrival,dào huò
反射,reflection,fǎnshè
信封,envelope,xìnfēng
储备,reserve,chúbèi
狩猎,hunting,shòuliè
家具,furniture,jiājù
手势,gesture,shǒushì
住所,residence,zhùsuǒ
野心,ambition,yěxīn
钉,nail,dīng
频谱,spectrum,pín pǔ
绘图,drawing,huìtú
热情,enthusiasm,rèqíng
笔,pen,bǐ
偏好,preference,piānhào
没有,absence,méiyǒu
氧,oxygen,yǎng
球队,squad,qiú duì
污染,pollution,wūrǎn
锁,lock,suǒ
扩展,extension,kuòzhǎn
参与者,participant,cānyù zhě
建筑师,architect,jiànzhú shī
替补,bench,tìbǔ
绳子,rope,shéngzi
目的,aim,mùdì
流,stream,liú
进化,evolution,jìnhuà
角,angle,jiǎo
管辖,jurisdiction,guǎnxiá
章程,charter,zhāngchéng
意识形态,ideology,yìshí xíngtài
潮,tide,cháo
代表,representation,dàibiǎo
鉴定,identification,jiàndìng
浓度,concentration,nóngdù
常态,norm,chángtài
传播,spread,chuánbò
对手,rival,duìshǒu
失望,disappointment,shīwàng
法庭,tribunal,fǎtíng
粮食,grain,liángshí
比例,proportion,bǐlì
傻瓜,fool,shǎguā
合并,merger,hébìng
忠诚,loyalty,zhōngchéng
出版,publication,chūbǎn
参与,participation,cānyù
逃生,escape,táoshēng
股东,shareholder,gǔdōng
选区,constituency,xuǎnqū
油漆,paint,yóuqī
马桶,toilet,mǎtǒng
鬼,ghost,guǐ
吸引力,attraction,xīyǐn lì
狮子,lion,shīzi
工艺,craft,gōngyì
自定义,custom,zì dìng yì
悬崖,cliff,xuányá
宫殿,palace,gōngdiàn
握,grip,wò
蛋白质,protein,dànbáizhí
准确度,accuracy,zhǔnquè dù
盗窃,theft,dàoqiè
寡妇,widow,guǎfù
验收,acceptance,yànshōu
雅绅特,accent,yǎshēntè
闻,smell,wén
出发,departure,chūfā
会员,membership,huìyuán
专业知识,expertise,zhuānyè zhīshì
修复,repair,xiūfù
大会,assembly,dàhuì
摘要,summary,zhāiyào
逻辑,logic,luójí
边界,boundary,biānjiè
相当于,equivalent,xiāngdāng yú
持有人,holder,chí yǒu rén
尺寸,dimension,chǐcùn
铁路,rail,tiělù
交易,transaction,jiāoyì
左,left,zuǒ
序列,sequence,xùliè
节日,festival,jiérì
坑,pit,kēng
地平线,horizon,dìpíngxiàn
碗,bowl,wǎn
购买,purchase,gòumǎi
原告,plaintiff,yuángào
阿姨,aunt,āyí
股权,equity,gǔquán
负载,load,fùzǎi
范围,scope,fànwéi
黑暗,darkness,hēi'àn
三明治,sandwich,sānmíngzhì
教区,parish,jiàoqū
关闭,closure,guānbì
桩,pile,zhuāng
所有权,ownership,suǒyǒuquán
起源,origin,qǐyuán
后卫,defender,hòuwèi
电路,circuit,diànlù
介绍,introduction,jièshào
模式,mode,móshì
打折,discount,dǎzhé
方程,equation,fāngchéng
实体,entity,shítǐ
该套件,kit,gāi tàojiàn
心理学,psychology,xīnlǐ xué
凭借,virtue,píngjiè
灵活性,flexibility,línghuó xìng
教练,trainer,jiàoliàn
大陆,continent,dàlù
交易者,trader,jiāo yì zhě
洗澡,bath,xǐzǎo
砖,brick,zhuān
该指标,indicator,gāi zhǐbiāo
卖家,seller,màijiā
促销,promotion,cùxiāo
冲突,clash,chōngtú
特点,characteristic,tèdiǎn
硬币,coin,yìngbì
保证,assurance,bǎozhèng
命题,proposition,mìngtí
舌头,tongue,shétou
最小,minimum,zuìxiǎo
集电极,collector,jí diànjí
资本主义,capitalism,zīběn zhǔyì
篮下,basket,lán xià
该框架,framework,gāi kuàngjià
意识,consciousness,yìshí
开关,switch,kāiguān
租金,rent,zūjīn
曲线,curve,qūxiàn
棉花,cotton,miánhuā
补丁,patch,bǔdīng
进口,import,jìnkǒu
隔离,isolation,gélí
高考,entrance,gāokǎo
必要性,necessity,bìyào xìng
广场,square,guǎngchǎng
蒸汽,steam,zhēngqì
农业,agriculture,nóngyè
改造,transformation,gǎizào
羊,sheep,yáng
刷,brush,shuā
数据库,database,shùjùkù
存款,deposit,cúnkuǎn
菜单,menu,càidān
调整,adjustment,tiáozhěng
胜利,triumph,shènglì
消费,consumption,xiāofèi
守护者,guardian,shǒuhù zhě
窗帘,curtain,chuānglián
满意,satisfaction,mǎnyì
计算,calculation,jìsuàn
车队,fleet,chēduì
补救措施,remedy,bǔjiù cuòshī
车道,lane,chēdào
证书,certificate,zhèngshū
游泳,swimming,yóuyǒng
发射,emission,fāshè
面料,fabric,miànliào
媒体,medium,méitǐ
效率,efficiency,xiàolǜ
互动,interaction,hùdòng
驾驶室,cab,jiàshǐ shì
复活节,easter,fùhuó jié
荣耀,glory,róngyào
接待处,reception,jiēdài chù
生产力,productivity,shēngchǎnlì
酸,acid,suān
仆人,servant,púrén
评估,evaluation,pínggū
磨,mill,mó
展览,exhibition,zhǎnlǎn
总和,sum,zǒnghé
对口,counterpart,duìkǒu
警长,sergeant,jǐng zhǎng
存储,storage,cúnchú
分数,fraction,fēnshù
创新,innovation,chuàng xīn
立场,stance,lìchǎng
马达,motor,mǎdá
格式,format,géshì
颗粒,particle,kēlì
跟踪,trace,gēnzōng
流体,fluid,liútǐ
课程设置,curriculum,kèchéng shèzhì
学说,doctrine,xuéshuō
开发商,developer,kāifā shāng
暂停,pause,zàntíng
拆除,removal,chāichú
感觉,sensation,gǎnjué
股息,dividend,gǔxí
垄断,monopoly,lǒngduàn
图库,gallery,túkù
讲座,lecture,jiǎngzuò
出租车,taxi,chūzū chē
自由裁量权,discretion,zìyóu cáiliáng quán
肉,flesh,ròu
商家,merchant,shāngjiā
数量,quantity,shùliàng
宠儿,darling,chǒng'ér
理由,justification,lǐyóu
画家,painter,huàjiā
混合物,mixture,hùnhéwù
违约,breach,wéiyuē
电梯,lift,diàntī
池塘,pond,chítáng
脸颊,cheek,liǎnjiá
继任者,successor,jìrèn zhě
登记,registration,dēngjì
咨询,consultation,zīxún
资格,qualification,zīgé
供应商,supplier,gōngyìng shāng
秋季,autumn,qiūjì
硬件,hardware,yìngjiàn
皮革,leather,pígé
兔子,rabbit,tùzǐ
段落,paragraph,duànluò
同伴,companion,tóngbàn
大头,bulk,dàtóu
走廊,corridor,zǒuláng
车间,workshop,chējiān
树荫,shade,shù yīn
会计,accountant,kuàijì
剑,sword,jiàn
形成,formation,xíngchéng
整合,integration,zhěnghé
支出,expenditure,zhīchū
输入,input,shūrù
杆,rod,gān
复杂性,complexity,fùzá xìng
裙子,skirt,qúnzi
昆虫,insect,kūnchóng
运输,transport,yùnshū
死亡率,mortality,sǐwáng lǜ
坡,slope,pō
恢复,restoration,huīfù
巢,nest,cháo
变化,variation,biànhuà
组成,composition,zǔchéng
冠,crown,guān
概率,probability,gàilǜ
解放,liberation,jiěfàng
出席,attendance,chūxí
有机体,organism,yǒujītǐ
保护,conservation,bǎohù
雕塑,sculpture,diāosù
香槟,champagne,xiāngbīn
架构,architecture,jiàgòu
大学,university,dàxué
千元,thousand,qiān yuán
百分比,percent,bǎifēnbǐ
局,bureau,jú
王,king,wáng
共和国,republic,gònghéguó
神,god,shén
十几,dozen,shí jǐ
旅行者,traveller,lǚxíng zhě
结,junction,jié
纤维,fibre,xiānwéi
接口,interface,jiēkǒu
修道院,abbey,xiūdàoyuàn
大道,avenue,dàdào
目录,directory,mùlù
威士忌,whisky,wēishìjì
公园,park,gōngyuán
美元,dollar,měiyuán
寿命,lifespan,shòumìng
公主,princess,gōngzhǔ
殖民地,colony,zhímíndì
百万,million,bǎi wàn
小山,hill,xiǎoshān
该熔点,mp,gāi róngdiǎn
楼梯,stairs,lóutī
汽油,petrol,qìyóu
教皇,pope,jiàohuáng
理事会,council,lǐshì huì
山谷,valley,shāngǔ
数十亿,billion,shù shí yì
面包车,van,miànbāochē
幽默,humour,yōumò
凝视,gaze,níngshì
保守党,tory,bǎoshǒu dǎng
老鹰,eagle,lǎoyīng
导师,tutor,dǎoshī
该法案,bill,gāi fǎ'àn
照片,photograph,zhàopiàn
寸,inch,cùn
查询,enquiry,cháxún
白,white,bái
理工学院,polytechnic,lǐgōng xuéyuàn
客栈,inn,kèzhàn
该女士,mrs,gāi nǚshì
大地,earth,dàdì
剧院,theatre,jùyuàn
裁判,ref,cáipàn
伯爵,earl,bójué
小岛,isle,xiǎo dǎo
在第一章,chap,zài dì yī zhāng
附录,appendix,fùlù
该研究所,institute,gāi yánjiū suǒ
该CORP,corp,gāi CORP
宪法,constitution,xiànfǎ
上校,colonel,shàngxiào
青睐,favour,qīnglài
知县,magistrate,zhīxiàn
最爱,favourite,zuì ài
插图,illustration,chātú
在妈妈,mum,zài māmā
标准,criterion,biāozhǔn
湖,lake,hú
合作,co,hézuò
小伙子,lad,xiǎohuǒzi
该规范,specification,gāi guīfàn
在毫秒,ms,zài háomiǎo
冗余,redundancy,rǒng yú
中心,centre,zhōngxīn
无花果,fig,wúhuāguǒ
木乃伊,mummy,mùnǎiyī
联邦,federation,liánbāng
其他,other,qítā
律师,solicitor,lǜshī
荣誉,honour,róngyù
红,red,hóng
警员,constable,jǐng yuán
海军,navy,hǎijūn
海港,harbour,hǎigǎng
社会学,sociology,shèhuì xué
建设者,builder,jiànshè zhě
进攻,offence,jìngōng
公爵,duke,gōngjué
照片,photo,zhàopiàn
传闻,rumour,chuánwén
分类,classification,fēnlèi
该程序,programme,gāi chéngxù
百,hundred,bǎi
县,county,xiàn
平,flat,píng
电视,tv,diànshì
该委员,councillor,gāi wěiyuán
仪表,metre,yíbiǎo
海湾,bay,hǎiwān
垃圾,rubbish,lèsè
货车,lorry,huòchē
橱柜,cupboard,chúguì
该毫米,mm,gāi háomǐ
该协会,association,gāi xiéhuì
该组织,organisation,gāi zǔzhī
一英里,mile,yī yīnglǐ
思念,miss,sīniàn
女王,queen,nǚwáng
判决,judgement,pànjué
目录,catalogue,mùlù
别墅,villa,biéshù
布什,bush,bùshí
劳动,labour,láodòng
防御,defence,fángyù
标记,mark,biāojì
邻居,neighbour,línjū
玫瑰,rose,méiguī
检查,cheque,jiǎnchá
自治市镇,borough,zìzhì shì zhèn
购买,purchaser,gòumǎi
爸爸,daddy,bàba
旅途,go,lǚtú
狗屎,shit,gǒu shǐ
英联邦,commonwealth,yīng liánbāng
王子,prince,wángzǐ
增值税,vat,zēngzhí shuì
配置,allocation,pèizhì
该厘米,cm,gāi límǐ
领取养老金,pensioner,lǐngqǔ yǎnglǎo jīn
艾滋病,aids,àizībìng
颜色,colour,yánsè
无,no,wú
在UNIX,unix,zài UNIX
国库,treasury,guókù
英亩,acre,yīngmǔ
犹太人,jew,yóutàirén
在吨,tonne,zài dūn
大主教,archbishop,dàzhǔjiào
主,lord,zhǔ
行为,behaviour,xíngwéi
许可,licence,xǔkě
诉讼,proceeding,sùsòng
露台,terrace,lùtái
频率,frequency,pínlǜ
研讨会,seminar,yántǎo huì
内饰,interior,nèi shì
诗句,verse,shījù
收据,receipt,shōujù
品种,breed,pǐnzhǒng
测量,measurement,cè liáng
手掌,palm,shǒuzhǎng
码头,dock,mǎtóu
个人电脑,pc,gèrén diànnǎo
缺点,disadvantage,quēdiǎn
安装,installation,ānzhuāng
广告,advertisement,guǎnggào
实施,implementation,shíshī
投资组合,portfolio,tóuzī zǔhé
木材,timber,mùcái
该条款,clause,gāi tiáokuǎn
话语,discourse,huàyǔ
光盘,disc,guāngpán
刀片,blade,dāopiàn
比,ratio,bǐ
矿产,mineral,kuàngchǎn
大纲,outline,dàgāng
加,addition,jiā
机械,machinery,jīxiè
运河,canal,yùnhé
当地,local,dāngdì
处置,disposal,chǔzhì
拒绝,refusal,jùjué
域,domain,yù
寄存器,register,jìcúnqì
审计,audit,shěnjì
可用性,availability,kěyòngxìng
收购,acquisition,shōugòu
自主,autonomy,zìzhǔ
丝绸,silk,sīchóu
梁,beam,liáng
住宿,accommodation,zhùsù
申请人,applicant,shēnqǐng rén
修改,modification,xiūgǎi
锡,tin,xī
片段,fragment,piànduàn
房客,tenant,fángkè
转换,conversion,zhuǎnhuàn
供应商,vendor,gōngyìng shāng
从业,practitioner,cóngyè
喜悦,delight,xǐyuè
过滤器,filter,guòlǜ qì
铜牌,bronze,tóngpái
门口,doorway,ménkǒu
发病率,incidence,fābìng lǜ
租赁,lease,zūlìn
约束,constraint,yuēshù
布,cloth,bù
幼儿园,nursery,yòu ér yuán
债权人,creditor,zhàiquánrén
税收,taxation,shuìshōu
磁盘,disk,cípán
词典,dictionary,cídiǎn
概念,conception,gàiniàn
受托人,trustee,shòutuō rén
分子,molecule,fēnzǐ
控股,holding,kònggǔ
山寨,cottage,shānzhài
房东,landlord,fángdōng
继承,succession,jìchéng
温暖,warmth,wēnnuǎn
法术,spell,fǎshù
礼拜堂,chapel,lǐbàitáng
休闲,leisure,xiūxián
统治,reign,tǒngzhì
回复,reply,huífù
时间,duration,shíjiān
城堡,castle,chéngbǎo
层次结构,hierarchy,céngcì jiégòu
相关,correlation,xiāngguān
排除,exclusion,páichú
酒馆,pub,jiǔguǎn
假设,hypothesis,jiǎshè
灯,lamp,dēng
球体,sphere,qiútǐ
校长,chancellor,xiàozhǎng
农民,peasant,nóngmín
输出,output,shūchū
皇帝,emperor,huángdì
扫视,glance,sǎoshì
试样,specimen,shì yàng
该指令,directive,gāi zhǐlìng
论文,thesis,lùnwén
工作,working,gōng zuò
橡木,oak,xiàngmù
成交,turnover,chéngjiāo
津贴,allowance,jīntiē
托盘,tray,tuōpán
核数师,auditor,hé shù shī
服务器,server,fúwùqì
大教堂,cathedral,dà jiàotáng
可惜,pity,kěxí
变量,variable,biànliàng
粘土,clay,niántǔ
马车,carriage,mǎchē
电影院,cinema,diànyǐngyuàn
传单,leaflet,chuándān
铜,copper,tóng
密度,density,mìdù
子公司,subsidiary,zǐ gōngsī
解雇,dismissal,jiěgù
完成,completion,wánchéng
处理器,processor,chǔlǐ qì
包,packet,bāo
羊毛,wool,yángmáo
标题,heading,biāotí
语法,grammar,yǔfǎ
路面,pavement,lùmiàn
接收器,receiver,jiēshōu qì
模块,module,mókuài
铁路,railway,tiělù
瞳孔,pupil,tóngkǒng
板球,cricket,bǎn qiú
打印机,printer,dǎyìnjī
间隔,interval,jiàngé
图,diagram,tú
混蛋,bastard,húndàn
